127.0.0.1, 2014-05-13 23:09:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-05-13 23:09:50, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.007000
127.0.0.1, 2014-05-13 23:09:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-05-13 23:09:58, GET, /pulse/default/index, HTTP/1.1, 200, 1.103000
127.0.0.1, 2014-05-13 23:09:58, GET, /pulse/static/js/jquery.js, HTTP/1.1, 200, 0.111000
127.0.0.1, 2014-05-13 23:09:58, GET, /pulse/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.147000
